Golden Tales,,,Egmont,abgeschlossen,1,1,de,Fantasy,,,
Goth,,,Egmont,abgeschlossen,1,1,de,Horror,,,
Grimms Manga,"Ishiyama, Kei","Ishiyama, Kei",Tokyopop,abgeschlossen,2,2,de,Fantasy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/7763-3vrIzHVl2f4l.jpg,,
Gunslinger Girl,"Aida, Yu","Aida, Yu",Egmont,abgeschlossen,15,15,de,Drama,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx30649-6gV5xzVwv2YA.jpg,,
Gute Nacht Punpun,"Asano, Inio","Asano, Inio",Tokyopop,abgeschlossen,13,13,de,Drama,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx34632-14deknANZitb.png,,
"Guten Morgen, Dornröschen",,,Egmont,,,3,de,Mystery,,,
Haikyu!!,"Furudate, Haruichi","Furudate, Haruichi",Kazé,laufend,,13,de,Sports,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/35243.jpg,,
Hana & Hina After School,,,Seven Seas,abgeschlossen,3,3,eng,Yuri,,,
Happy Marriage?,,,Tokyopop,abgeschlossen,5,5,de,Shojo,,,
Haus der Sonne,Taamo,Taamo,Tokyopop,abgeschlossen,13,13,de,Shojo,https://www.tokyopop.de/manga/media/image/41/42/e8/haus-der-sonne-cover-01.jpg,,
Hausarrest ab 19:00!,,,Tokyopop,abgeschlossen,2,2,de,Shojo,,,
Hetalia Axis Powers,,,Tokyopop,,,1,de,Comedy,,,
Highschool Girls,,,Egmont,abgeschlossen,2,2,de,Yuri,,,
Highschool of the Dead,,,Carlsen,,,1,de,Action,,,
Hikaru no Go,,,Carlsen,abgeschlossen,23,23,de,Sports,,,
Himouto! Umaru-chan,,,,abgeschlossen,12,12,jp,Slice of Life,,,
Himouto! Umaru-chan S,,,,laufend,,1,jp,Slice of Life,,,
